iterCount,type,time,latitude,longitude,depth,scalar,AnomalyScore,AnomalyMean_Windowsize,AnomalyLikelihood,logLikelihood,place,id,prediction
583,earthquake,2010-08-26T15:08:04.910Z,36.116,136.773,277.8,5.4,0.0,"(0.36472602739726029, None)",0.5,0.0301029996658834,"near the west coast of Honshu, Japan",usp000hjt2,None
584,earthquake,2010-08-27T00:17:06.570Z,-55.958,-27.873,125.9,5.2,0.0,"(0.36410256410256409, None)",0.5,0.0301029996658834,South Sandwich Islands region,usp000hjte,None
585,earthquake,2010-08-27T04:40:57.500Z,-7.454,-75.146,131.1,5.3,0.0,"(0.363481228668942, None)",0.5,0.0301029996658834,northern Peru,usp000hjtq,None
586,earthquake,2010-08-27T06:42:21.570Z,-6.18,146.406,109.4,5,0.0,"(0.36286201022146508, None)",0.5,0.0301029996658834,"eastern New Guinea region, Papua New Guinea",usp000hjty,None
587,earthquake,2010-08-27T09:10:13.170Z,-55.469,-27.849,35,5.1,0.0,"(0.36224489795918369, None)",0.5,0.0301029996658834,South Sandwich Islands region,usp000hju3,None
588,earthquake,2010-08-27T11:30:22.880Z,-55.418,-123.703,10,5.2,0.0,"(0.36162988115449918, None)",0.5,0.0301029996658834,southern East Pacific Rise,usp000hju8,None
589,earthquake,2010-08-27T15:16:04.510Z,-55.078,-121.799,10,5.4,0.0,"(0.3610169491525424, None)",0.5,0.0301029996658834,southern East Pacific Rise,usp000hjuf,None
590,earthquake,2010-08-27T19:23:49.500Z,35.49,54.47,7,5.8,0.0,"(0.3604060913705584, None)",0.5,0.0301029996658834,northern Iran,usp000hjuq,None
591,earthquake,2010-08-28T18:46:30.400Z,18.72,-107.097,53.3,5.5,0.0,"(0.35979729729729731, None)",0.5,0.0301029996658834,"off the coast of Jalisco, Mexico",usp000hjvq,None
592,earthquake,2010-08-28T22:42:51.080Z,-17.454,167.755,35,5,0.0,"(0.35919055649241149, None)",0.5,0.0301029996658834,Vanuatu,usp000hjvw,None
593,earthquake,2010-08-29T06:37:48.900Z,-55.8,-26.991,35,5.5,0.0,"(0.35858585858585856, None)",0.5,0.0301029996658834,South Sandwich Islands region,usp000hjwf,None

