time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-05T02:40:23.620Z,-5.4413,151.9869,33.88,5.2,mb,,90,1.254,1.1,us,us20002bp7,2015-05-05T10:43:06.177Z,"124km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-05T01:58:20.240Z,-5.2838,152.1734,57.52,5.6,mb,,90,1.085,0.65,us,us20002bp4,2015-05-05T10:01:05.322Z,"103km S of Kokopo, Papua New Guinea",earthquake
2015-05-05T01:54:05.090Z,-5.3079,152.0066,64.5,5.9,mb,,55,1.12,1.25,us,us20002bng,2015-05-05T09:56:39.854Z,"109km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-05T01:44:03.970Z,-5.4887,151.874,41.5,7.5,mww,,22,1.32,0.95,us,us20002bnf,2015-05-22T03:06:28.025Z,"132km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-04T18:23:26.050Z,-6.2544,131.4715,45.25,5,mb,,71,1.725,0.9,us,us20002b97,2015-05-05T02:25:56.676Z,"155km WSW of Tual, Indonesia",earthquake
2015-05-04T18:04:56.700Z,-56.5238,-27.4315,129.53,5.4,mb,,35,5.627,1.06,us,us20002b8y,2015-05-05T02:07:28.741Z,"24km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-05-04T12:24:08.150Z,-61.4428,154.2683,14,5.7,mwb,,41,7.394,0.61,us,us20002b6b,2015-05-18T06:46:39.441Z,"Balleny Islands region",earthquake
2015-05-04T08:09:14.810Z,-5.5932,151.8741,60.77,5.1,mb,,90,1.422,0.99,us,us20002b4m,2015-05-04T16:11:46.731Z,"143km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-04T06:55:43.310Z,1.6919,126.4046,35,5.1,mb,,90,1.326,1.09,us,us20002b44,2015-05-04T14:58:13.664Z,"138km ENE of Bitung, Indonesia",earthquake
2015-05-04T02:29:10.730Z,-44.5228,168.8441,10,5.6,mww,,30,0.328,0.74,us,us20002b38,2015-05-13T21:56:57.000Z,"31km NW of Wanaka, New Zealand",earthquake
2015-05-03T23:40:55.730Z,-5.5452,151.9118,35,5.9,mww,,18,1.368,0.82,us,us20002b2k,2015-05-13T21:56:55.000Z,"137km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-03T22:50:48.340Z,-5.4753,151.8671,59.44,5.2,mb,,18,1.309,0.68,us,us20002b21,2015-05-21T23:30:42.531Z,"131km SSW of Kokopo, Papua New Guinea",earthquake
